Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Technical Rating 4 hours,Industry
WYNN,"Wynn Resorts, Limited",81.17,USD,-1.5524560339599769,1862280,1.0327163826911037,8913681070,USD,9.807759693575477,8.2761,USD,11981.897810218976,1.23198,Consumer services,Strong buy,Strong sell,Casinos/Gaming
SCEYF,Source Energy Services Ltd.,11.23,USD,2.650822669104213,100,0.021716941385975203,152110964.52846617,USD,1.2126073741289114,9.26103555,USD,7877.945042240046,0,Non-energy minerals,Buy,Buy,Construction materials
AIRJ,AirJoule Technologies Corporation,8.46,USD,-4.514672686230233,85631,0.7973774289790186,472433156.99999994,USD,1.6797045626017553,5.0366,USD,6195.75,0,Producer manufacturing,Strong buy,Sell,Electrical products
IIM,Invesco Value Municipal Income Trust,11.96,USD,-0.49916805324458174,168653,0.6263464910179463,562938000,USD,10.250257113472745,1.1668,USD,5647.783251231528,5.43646,Miscellaneous,Neutral,Sell,Investment trusts/Mutual funds
VKQ,Invesco Municipal Trust,9.77,USD,0,152062,0.6914140472607069,540628000,USD,10.156980975153342,0.9619,USD,4909.895833333334,5.2999,Miscellaneous,Neutral,Sell,Investment trusts/Mutual funds
MFM,MFS Municipal Income Trust,5.41,USD,0.7448789571694606,139530,1.034008221376914,222825000,USD,4.769040902679831,1.1344,USD,3922.6950354609935,4.45471,Miscellaneous,Neutral,Neutral,Investment trusts/Mutual funds
KSKGF,Kingsgate Consolidated Ltd.,0.81,USD,1.250000000000001,4885,0.5791345583876705,208778868.68441063,USD,1.5830139553819895,0.51168216,USD,3666.134958487899,0,Non-energy minerals,Strong buy,Sell,Precious metals
NMZ,Nuveen Municipal High Income Opportunity Fund,11.03,USD,0.6386861313868476,361277,0.8085993174476985,1219250000,USD,4.722353041914629,2.3357,USD,3460.518292682927,5.80236,Miscellaneous,Neutral,Buy,Investment trusts/Mutual funds
LAAC,Lithium Americas (Argentina) Corp.,2.98,USD,-2.9315960912052073,1078258,0.8601596243389903,482549098.27842236,USD,0.3799592454438306,7.84294641,USD,3327.0599980799943,0,Non-energy minerals,Buy,Buy,Other metals/Minerals
PPC,Pilgrim's Pride Corporation,45.94,USD,1.345687182881093,649446,0.698888744448242,10893433149,USD,11.084035032692352,4.1447,USD,3032.804232804233,0,Process industries,Neutral,Sell,Agricultural commodities/Milling
ADT,ADT Inc.,7.03,USD,0.42857142857143216,4957614,0.925979317114222,5991450264,USD,7.653783342406097,0.9185,USD,2717.4846625766877,3.12945,Commercial services,Buy,Neutral,Miscellaneous commercial services
GAP,"Gap, Inc. (The)",23.81,USD,0.21043771043769846,3463448,0.998166009935525,8979271933,USD,11.067212047968763,2.1514,USD,2015.4375614552605,2.51995,Retail trade,Buy,Sell,Apparel/Footwear retail
NVG,Nuveen AMT-Free Municipal Credit Income Fund,12.33,USD,0.24390243902438505,416269,0.40120163198964953,2632730000,USD,4.7381162817507585,2.6023,USD,1936.2284820031298,6.24088,Miscellaneous,Neutral,Sell,Investment trusts/Mutual funds
VAL,Valaris Limited,44.99,USD,-3.184850441144818,1223685,1.0422951113741368,3199616618,USD,3.0898451986868674,14.5606,USD,1755.7991333163397,0,Industrial services,Buy,Neutral,Contract drilling
COLL,"Collegium Pharmaceutical, Inc.",33.34,USD,14.413177762525747,1233183,3.424297463702419,1075222890,USD,14.384950597575184,2.3177,USD,1442.049234863606,0,Health technology,Buy,Strong buy,Pharmaceuticals: major
TLN,Talen Energy Corporation,215.59,USD,1.3515737019016054,1001492,1.853006473825404,10963900000.000002,USD,11.541035208214002,18.6803,USD,1283.7259259259258,0,Utilities,Strong buy,Strong buy,Alternative power generation
QSG,QuantaSing Group Limited,2,USD,1.52284263959391,49603,0.4524698250069326,102423451,USD,2.000200020002,0.9999,USD,1281.0773480662983,0,Commercial services,Neutral,Sell,Miscellaneous commercial services
KUASF,KUAISHOU TECHNOLOGY,5.39,USD,0.40983606557375846,350,0.16315495058735782,23327220017.18627,USD,11.384779237048786,0.473439132,USD,1226.8673245150007,0,Technology services,Strong buy,Sell,Information technology services
NNGPF,NN Group NV,44.2425,USD,1.7068965517241372,497,0.7339043118724158,12116214855.723475,USD,9.734603429095065,4.544869272000001,USD,1043.7760132535066,8.02867,Finance,Buy,Sell,Life/Health insurance
ZEOOF,Zeon Corp.,9.35,USD,2.7472527472527473,200,0.1195457262402869,1975453436.278947,USD,8.583543894917483,1.0892936663999997,USD,881.468100792986,4.10116,Process industries,Buy,Neutral,Industrial specialties
WGXRF,Westgold Resources Limited,1.837,USD,4.97142857142857,60035,1.1351990167344237,1732492522.0348122,USD,13.932131332445682,0.13185348,USD,838.2852995175268,0.767918,Non-energy minerals,Strong buy,Buy,Precious metals
